name,aliases
Namdev Finvest Private Limited,Namdev Finvest
Belstar Microfinance Limited,Belstar
MINTIFI Finserve Private Limited,Mintifi
Kissandhan Agri Financial Serviced Limited,Kissandhan
Karnataka State Financial Corporation,"KSFC, Karnataka State Financial"
Laxmi India Finance Limited,Laxmi India Finance
Dar Credit & Capital Limited,Dar Credit
Religare Housing Development Finance Corporation Limited,Religare Housing
Supreme Housing Finance Limited,Supreme Housing
Manba Finance Limited,Manba Finance
CFM ARC,"CFM Asset Reconstruction, CFM ARC"
GrowXCD Finance Private Limited,GrowXCD
KrazyBee Services Limited,"Krazybee, kreditbee"
Karnataka Bank Limited,Karnataka Bank
Tourism Finance Corporation of India Limited,"Tourism Finance, TFCI"
Golden Legand Leasing and Finance Limited,Golden Legand
Nabkisan Finance limited,"NABKISAN, NABARD"
Svamaan Financial Services Private Limited,"Svamaan Financial, JSW One"
Axis Securities Limited,Axis Securities
Ashika Stock Services Limited,Ashika Stock
IFCI Limited,IFCI
Bank of Baroda,"BoB, Bank of Baroda"
Punjab and Sind Bank,"Punjab & Sind Bank,Punjab and Sind Bank"
Nexome Capital Markets Limited,Nexome Capital
Wonder Home Finance Limited,Wonder Home Finance
SBM Bank (INDIA) Limited,"SBM Bank India, SBM India"
Home First Finance Company India Limited,Home First Finance
Religare Broking Limited,Religare Broking
One Mobikwik,One MobiKwik
Pinelabs,"Pine Labs,Pinelabs"
Religare Enterprises,Religare
Finova Capital Private Limited,Finova Capital
KLM Axiva Finvest Limited,KLM Axiva
Gajet Financial Services Private Limited,Gajet Financial
IDBI Bank Limited,IDBI Bank
SMFG India Credit Company Limited,"SMFG, SMBC,SMFG India"
SMFG India Home Finance Company Limited,"SMFG, SMBC,SMFG India"
NIPUN PROJECTS & FINANCE PRIVATE LIMITED,"NIPUN PROJECTS & FINANCE, Optimo capital"
Nivara Home Finance Limited,Nivara Home
Pahal Financial Services Private Limited,Pahal Financial
Sitara Housing Finance Limited,Sitara Housing Finance
Nisus Finance Services Co Limited,Nisus Finance
Profectus Capital Private Limited,"Profectus Capital, UGRO"
Indian Clearing Corporation Limited,"Indian Clearing Corporation, ICCL"
NSE IFSC Clearing Corporation Limited,"NSEICC, NICCL, NSE International Clearing,NSE IFSC"
Repco Home Finance Limited,Repco Home
Jharkhand Rajya Gramin Bank,"Jharkhand Gramin Bank, JRGB, JGB Bank"
Bharti Axa Life Insurance Company Limited,Bharti Axa
MS Fincap Private Limited,MS Fincap
Jammu & Kashmir Bank Limited,"J&K Bank, Jammu and Kashmir Bank"
HDFC Life Insurance Company Limited,HDFC Life
ESAF Small Finance Bank Limited,"ESAF Small Finance Bank, ESAF SFB"
Goenka Business and Finance Limited,Goenka Business and Finance
Sarala Development & Microfinance Private Limited,Sarala Development & Microfinance
SMIFS LIMITED,SMIFS
Cyqure India Private Limited,Cyqure India
Reliance Capital Limited,Reliance Capital
Maanaveeya Development & Finance Private Limited,Maanaveeya Development & Finance
360 One Alternates Asset Management Limited,"360 ONE Alternates, 360 ONE Asset"
360 One Distribution Services Limited,360 ONE Distribution
360 One Prime Limited,360 ONE Prime
360 One Wam Limited,360 ONE WAM
HDFC Securities Limited,HDFC Securities
Shrinithi Capital Private Limited,Shrinithi Capital
Alpha Alternatives Financial Services Private Limited,"Alpha Alternatives, Alpha Holdings"
Agrim Housing Finance Private Limited,Agrim Housing
National Bank For Financing Infrastructure And Development,"NaBFID,National Bank For Financing Infrastructure"
Decent Securities Limited,Decent Securities
Geojit Credits Private Limited,"Geojit Credit, Geojit"
Geojit Financial Services Limited,"Geojit Financial, Geojit"
Geojit Investment,"Geojit Investment, Geojit"
Comfort Fincap Limited,Comfort Fincap
Equitas Small Finance Bank Limited,"Equitas Small Finance Bank, Equitas SFB"
IndusInd General Insurance Company Limited,"IndusInd General Insurance, IndusInd"
NABFINS Limited,"NABFINS, NABARD"
Northern Arc Capital Limited,Northern Arc
Baid Finserv Limited,Baid Finserv
Star Union Dai-ichi Life Insurance Company Limited,"SUD Life, Star Union Dai-ichi Life, Star union"
Kusalava Finance Limited,Kusalava Finance
Sammaan Capital Limited,"Sammaan Capital, Indiabulls Housing Finance"
Sammaan Finserve Limited,"Sammaan Finserve, Indiabulls Commercial Credit"
Shubham Housing Development Finance Company Limited,"Shubham Housing, Shubham Housing Development Finance"
Hinduja Housing Finance Limited,Hinduja Housing
Hinduja Leyland Finance Limited,Hinduja Leyland
L&T Finance Limited (formerly known as L&T Finance Holdings Limited),"L&T Finance, L&T Finance Holdings, LTFH"
Light Microfinance Private Limited,Light Microfinance
National Housing Bank,"NHB,National Housing Bank"
SBFC Finance Limited,SBFC
Earlysalary Services Private Limited,"Fibe, EarlySalary"
Crest Ventures Limited,Crest Ventures
IDBI Capital Markets & Securities Limited,"IDBI Capital, IDBI Capital Markets & Securities"
Axis Bank Limited,Axis Bank
Muthoot Homefin (India) Limited,"Muthoot Homefin, Muthoot Finance"
Share India Fincap Private Limited,Share India Fincap
Share India Securities Limited,Share India Securities
Poonawalla Fincorp Limited,Poonawalla Fincorp
Power Finance Corporation Limited,"Power Finance Corporation, PFC"
REC Limited,"REC, REC ltd, REC limited"
IDFC First Bank,IDFC FIRST
Federal Bank Limited,Federal Bank
HDB Financial Services Limited,"HDB Financial , HDBFS"
Union Bank of India,Union Bank
State Bank of India,"SBI, State Bank of India"
Arya Fin-Trade Services (India) Private Limited,Arya Fin-Trade Services (India)
Asthana Rural Development & Services Private Limited,Asthana Rural Development & Services
Aavas Financiers Limited,Aavas Financiers
Auriolus Finvest,Auriolus Finvest
Canara Bank,Canara Bank
Central Bank of India,Central Bank of India
Bank of India,"BoI, Bank of India"
Truhome Finance Limited,"Truhome Finance, Shriram Housing"
ART Housing Finance India Limited,ART Housing
ICICI Bank Limited,ICICI
Bandhan Mutual Fund (BLR),"Bandhan Mutual Fund, Bandhan MF"
Aditya Birla Sun Life Mutual Fund,"ABSL Mutual Fund, Aditya Birla Sun Life Mutual Fund"
Finnable Credit Private Limited,Finnable Credit
Midland Microfin Limited,Midland Microfin
Fedbank Financial Services Limited,"Fedfina, Fedbank"
Keshava Prabha Microfin Private Limited,Keshava Prabha Microfin
Cars24 Financial Services Private Limited,"CARS24 Financial Services, CARS24"
Flat White Capital Private Limited,Flat White Capital
Setia Auto Finance Private Limited,Setia Auto Finance
Svatantra Micro Housing Finance Corporation Limited,Svatantra Micro Housing
Svatantra Microfin Limited,Svatantra Microfin
RAR Fincare Limited,RAR Fincare
Aseem Infrastructure Finance Limited,"Aseem Infrastructure Finance, Aseem Infra, TPG india"
Red Fort Capital Finance Company Private Limited,Red Fort Capital
Yogakshemam Loans Limited,Yogakshemam Loans
The Puducherry Public Servants Co-op. Credit Society Ltd,Puducherry Public Servants Co-op
Star Housing Finance Limited,Star Housing
Manipal Cigna Health Insurance Company Limited,"ManipalCigna, Manipal Cigna"
LIC Housing Finance Limited,"LIC Housing, LIC HFL"
ECAP EQUITIES LIMITED (formerly known as EDEL LAND LIMITED),"ECAP Equities, Edel Land"
ECL Finance Limited,ECL Finance
Edel Finance Company Limited,Edel Finance
Edelweiss Asset Reconstruction Company Limited,"Edelweiss ARC, Edelweiss Asset Reconstruction"
Edelweiss Financial Services Limited,"Edelweiss Financial Services, EFSL"
Nido Home Finance Limited,Nido Home Finance
Svasti Microfinance Private Limited,Svasti Microfinance
Home Credit India Finance Private Limited,Home Credit India
TVS Holdings Limited,TVS Holdings
TVS Credit Services Limited,TVS Credit
Salem Erode Investments Limited,Salem Erode Investments
Grow Money Capital Private Limited,Grow Money Capital
India Mortgage Guarantee Corporation Private Limited,"India Mortgage Guarantee Corporation, IMGC"
Utkarsh Small Finance Bank Limited,"Utkarsh Small Finance Bank, Utkarsh SFB"
Oxyzo Finance,Oxyzo
Can Fin Homes Limited,"Can Fin Homes,CanFin Homes"
Hero Fincorp Limited,Hero FinCorp
STCI Finance Limited,STCI Finance
Spark Institutional Equities Private Limited,"Spark Institutional Equities, Avendus Spark"
Avendus Finance Private Limited,"Avendus Finance, Avendus"
Coimbatore Capital Limited,Coimbatore Capital
Au Small Finance Bank Limited,"AU SFB, AU small finance bank"
Godrej Finance Limited,Godrej Finance
Godrej Housing Finance Limited,Godrej Housing
North Eastern Development Finance Corporation Limited,"NEDFi, North Eastern Development Finance"
Punjab National Bank,"PNB, Punjab National Bank"
Indresh Financial,Indresh Financial
Axis Finance Limited,Axis Finance
Savery Transport Finance Limited,Savery Transport Finance
Madhya Pradesh Financial Corporation,"Madhya Pradesh Financial, MPFC"
Union Mutual Fund (BLR),Union Mutual Fund
Ambium Finserve Limited,Ambium Finserve
Taru Agencies and Investment Private Limited,Taru Agencies and Investment
Mas Financial Services Limited,"MAS Financial, MAS Finance"
MAS Rural Housing and Mortgage Finance Limited,MAS Rural Housing and Mortgage Finance
