entity_name,source,instrument,record_date,amount_rs_cr,previous_amount_rs_cr,amount_raw_text,is_sublimit,rating_previous,rating_current,outlook_previous,outlook_current,action_type,is_confirmed_action,ambiguous,ambiguous_reason,provenance,row_seq,press_release_date,press_release_url,evidence_text,extracted_at
Bajaj Finance Limited,CRISIL,Cash Credit & Working Capital Demand Loan — Bank Of India,2026-07-29,390.0,,Rs.390 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Cash Credit & Working Capital Demand Loan | 390 | Bank Of India | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Cash Credit & Working Capital Demand Loan — Canara Bank,2026-07-29,390.0,,Rs.390 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Cash Credit & Working Capital Demand Loan | 390 | Canara Bank | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Cash Credit & Working Capital Demand Loan — HDFC Bank Limited,2026-07-29,650.0,,Rs.650 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Cash Credit & Working Capital Demand Loan | 650 | HDFC Bank Limited | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Cash Credit & Working Capital Demand Loan — ICICI Bank Limited,2026-07-29,1500.0,,Rs.1500 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Cash Credit & Working Capital Demand Loan | 1500 | ICICI Bank Limited | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Cash Credit & Working Capital Demand Loan — IDBI Bank Limited,2026-07-29,250.0,,Rs.250 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Cash Credit & Working Capital Demand Loan | 250 | IDBI Bank Limited | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Cash Credit & Working Capital Demand Loan — State Bank of India,2026-07-29,1000.0,,Rs.1000 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Cash Credit & Working Capital Demand Loan | 1000 | State Bank of India | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Long Term Bank Facility — Bank Of India,2026-07-29,1500.0,,Rs.1500 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Long Term Bank Facility | 1500 | Bank Of India | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Long Term Bank Facility — HDFC Bank Limited,2026-07-29,15730.0,,Rs.15730 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Long Term Bank Facility | 15730 | HDFC Bank Limited | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Long Term Bank Facility — IDBI Bank Limited,2026-07-29,500.0,,Rs.500 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Long Term Bank Facility | 500 | IDBI Bank Limited | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Long Term Bank Facility — Mizuho Bank Limited,2026-07-29,1000.0,,Rs.1000 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Long Term Bank Facility | 1000 | Mizuho Bank Limited | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Long Term Bank Facility — State Bank of India,2026-07-29,12000.0,,Rs.12000 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Long Term Bank Facility | 12000 | State Bank of India | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Proposed Long Term Bank Loan Facility — Not Applicable,2026-07-29,8590.0,,Rs.8590 Crore,0,,Crisil AAA,,Stable,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Proposed Long Term Bank Loan Facility | 8590 | Not Applicable | Crisil AAA/Stable,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Short Term Bank Facility — ICICI Bank Limited,2026-07-29,2000.0,,Rs.2000 Crore,0,,Crisil A1+,,,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Short Term Bank Facility | 2000 | ICICI Bank Limited | Crisil A1+,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,CRISIL,Short Term Bank Facility — Union Bank of India,2026-07-29,500.0,,Rs.500 Crore,0,,Crisil A1+,,,,0,0,"Facility-level breakdown from the annexure: a rated amount for this facility, not a rating action in itself.",bank_facility_annexure,,2026-07-29,https://www.crisilratings.com/mnt/winshare/Ratings/RatingList/RatingDocs/BajajFinanceLimited_July%2029_%202026_RR_401403.html,Short Term Bank Facility | 500 | Union Bank of India | Crisil A1+,2026-09-09T17:05:39.585250+00:00
Bajaj Finance Limited,ICRA,"Commercial paper 40,000.00",2026-07-01,40000.0,,"40,000.00",0,,[ICRA]A1+,,,Reaffirmed,1,0,,summary_of_rating_action,1,2026-07-01,https://www.icra.in/Rating/GetRationalReportFilePdf?id=144045,"Commercial paper 40,000.00 | prev - | curr 40,000.00 | [ICRA]A1+; reaffirmed",2026-09-09T16:53:54.917922+00:00
Bajaj Finance Limited,ICRA,Fixed deposit,2026-07-01,,,,0,,[ICRA]AAA,,Stable,Reaffirmed,1,0,,summary_of_rating_action,0,2026-07-01,https://www.icra.in/Rating/GetRationalReportFilePdf?id=144045,Fixed deposit | prev - | curr - | [ICRA]AAA (Stable); reaffirmed,2026-09-09T16:53:54.917922+00:00
Bajaj Finance Limited,ICRA,"Long-term bank facilities 10,000.00",2026-07-01,10000.0,,"10,000.00",0,,[ICRA]AAA,,Stable,Reaffirmed,1,0,,summary_of_rating_action,2,2026-07-01,https://www.icra.in/Rating/GetRationalReportFilePdf?id=144045,"Long-term bank facilities 10,000.00 | prev - | curr 10,000.00 | [ICRA]AAA (Stable); reaffirmed",2026-09-09T16:53:54.917922+00:00
Bajaj Finance Limited,ICRA,Months post securitisation,2026-06-22,14.0,,14,0,,,,,,0,1,Could not read an explicit rating and action from the summary table cell: '',summary_of_rating_action,0,2026-06-22,https://www.icra.in/Rating/GetRationalReportFilePdf?id=143703,Months post securitisation | prev - | curr 14 |,2026-09-09T16:53:54.917922+00:00
Bajaj Finance Limited,ICRA,Non-convertible debentures,2026-07-01,15000.0,,"15,000.00",0,,[ICRA]AAA,,Stable,Assigned,1,0,,summary_of_rating_action,4,2026-07-01,https://www.icra.in/Rating/GetRationalReportFilePdf?id=144045,"Non-convertible debentures | prev - | curr 15,000.00 | [ICRA]AAA (Stable); assigned",2026-09-09T16:53:54.917922+00:00
Bajaj Finance Limited,ICRA,"Non-convertible debentures 25,000.00",2026-07-01,25000.0,,"25,000.00",0,,[ICRA]AAA,,Stable,Reaffirmed,1,0,,summary_of_rating_action,3,2026-07-01,https://www.icra.in/Rating/GetRationalReportFilePdf?id=144045,"Non-convertible debentures 25,000.00 | prev - | curr 25,000.00 | [ICRA]AAA (Stable); reaffirmed",2026-09-09T16:53:54.917922+00:00
Bajaj Finance Limited,India Ratings,Bank Loan(Unutilised) — NA,2025-07-23,10943.85,,INR 109438.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,233,2026-01-30,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=76931,"Bank Loan(Unutilised) | NA | IND AAA/Stable / IND A1+ | rated amount 109438.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank Loan(Unutilised) — NA,2025-08-29,10943.85,,INR 109438.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,194,2026-01-30,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=76931,"Bank Loan(Unutilised) | NA | IND AAA/Stable / IND A1+ | rated amount 109438.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank Loan(Unutilised) — NA,2025-09-30,7968.85,,INR 79688.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,155,2026-01-30,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=76931,"Bank Loan(Unutilised) | NA | IND AAA/Stable / IND A1+ | rated amount 79688.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank Loan(Unutilised) — NA,2026-03-30,8742.45,,INR 87424.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,293,2026-08-25,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=81837,"Bank Loan(Unutilised) | NA | IND AAA/Stable / IND A1+ | rated amount 87424.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank Loan(Unutilised) — NA,2026-06-23,4067.45,,INR 40674.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,166,2026-08-25,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=81837,"Bank Loan(Unutilised) | NA | IND AAA/Stable / IND A1+ | rated amount 40674.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank Loan(Unutilised) — NA,2026-07-23,1067.45,,INR 10674.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,124,2026-08-25,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=81837,"Bank Loan(Unutilised) | NA | IND AAA/Stable / IND A1+ | rated amount 10674.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank Loan(Unutilised) — NA,2026-08-07,1067.45,,INR 10674.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,82,2026-08-25,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=81837,"Bank Loan(Unutilised) | NA | IND AAA/Stable / IND A1+ | rated amount 10674.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank loan (Unutilised) — NA,2026-01-30,1408.85,,INR 14088.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,38,2026-01-30,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=76931,"Bank loan (Unutilised) | NA | IND AAA/Stable / IND A1+ | rated amount 14088.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank loan facilities (unutilised) — NA,2025-12-01,5908.85,,INR 59088.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,116,2026-01-30,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=76931,"Bank loan facilities (unutilised) | NA | IND AAA/Stable / IND A1+ | rated amount 59088.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank loan facilities — NA,2025-12-30,2908.85,,INR 29088.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,77,2026-01-30,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=76931,"Bank loan facilities | NA | IND AAA/Stable / IND A1+ | rated amount 29088.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
Bajaj Finance Limited,India Ratings,Bank loan facilities — NA,2026-03-10,15478.85,,INR 154788.5 million,0,,IND AAA,,Stable,,0,1,"The press release title states multiple actions (Assigned, Affirmed); which one applies to this instrument is not determinable from the facility endpoint, so it is not attributed.",bank_facility_rating_letter,333,2026-08-25,https://www.indiaratings.co.in/pressReleases/GetBankFacilityDataRatingLetter?pressReleaseId=81837,"Bank loan facilities | NA | IND AAA/Stable / IND A1+ | rated amount 154788.5 (INR million, as published)",2026-09-09T16:43:55.547143+00:00
